STORE,CITY,STATE,ZIP,MSA_NAME,MSA_POP,LATITUDE,LONGITUDE,LONGITUDE_CORR,MSA_INCOME,MSA_HIGH,MSA_BACH
6304,MYRTLE BEACH,SC,29577,MYRTLE BEACH-NORTH MYRTLE BEACH,249925,33.698101,78.89604,-78.89604,26686,81.1,18.7
7203,AKRON,OH,44322,AKRON,699356,41.043496,81.58536,-81.58536,33709,85.7,24.3
3704,TEXARKANA,TX,75503,TEXARKANA,134215,33.476844,94.09637,-94.09637,26687,77.3,16.1
3509,POCATELLO,ID,83202,POCATELLO,87609,42.96866,112.43182,-112.43182,24820,87.5,24.9
3303,HUTCHINSON,KS,67501,KS NONMETROPOLITAN AREA,40787,38.034292,97.92382,-97.92382,32645,82.3,17.2
8202,HOUMA,LA,70364,HOUMA-BAYOU CANE-THIBODAUX,201137,29.626988,90.72076,-90.72076,26900,66.7,12.3
704,NORTH LITTLE ROCK,AR,72116,LITTLE ROCK-NORTH LITTLE ROCK-CONWAY,666401,34.799541,92.24764,-92.24764,32399,83.4,24.8
4104,CARY,NC,27511,RALEIGH-CARY,1047629,35.755651,78.77508,-78.77508,35186,85.4,38.9
5104,CHARLOTTE,NC,28212,CHARLOTTE-GASTONIA-CONCORD,1651568,35.189544,80.74742,-80.74742,36151,80.8,27.1
6202,DOUGLASVILLE,GA,30135,ATLANTA-SANDY SPRINGS-MARIETTA,5278904,33.701554,84.73756,-84.73756,35009,84,32
7403,BOARDMAN,OH,44512,YOUNGSTOWN-WARREN-BOARDMAN,570704,40.850683,81.43773,-81.43773,27720,82.1,15.1
3407,AUSTIN,TX,78752,AUSTIN-ROUND ROCK,1598161,30.332506,97.70571,-97.70571,34005,84.8,36.7
4807,LONGVIEW,TX,75605,LONGVIEW,203611,32.557684,94.74353,-94.74353,29880,78.4,16.8
8402,METAIRIE,LA,70002,NEW ORLEANS-METAIRIE-KENNER,1030363,30.011517,90.16245,-90.16245,20722,77.7,22.6
